,case,component,date_range,ensemble,experiment,file_basename,files,grid,sequence_order,stream,variable,year_offset,ctrl_branch_year,has_ocean_bgc
37,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl003_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aerosnossl003_sh.024901-031612.nc,,0,cice.h,aerosnossl003_sh,1699,,
38,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aice_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aice_nh.024901-031612.nc,,0,cice.h,aice_nh,1699,,
39,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aice_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aice_sh.024901-031612.nc,,0,cice.h,aice_sh,1699,,
40,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen001_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen001_nh.024901-031612.nc,,0,cice.h,aicen001_nh,1699,,
41,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen001_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen001_sh.024901-031612.nc,,0,cice.h,aicen001_sh,1699,,
42,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen002_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen002_nh.024901-031612.nc,,0,cice.h,aicen002_nh,1699,,
43,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen002_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen002_sh.024901-031612.nc,,0,cice.h,aicen002_sh,1699,,
44,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen003_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen003_nh.024901-031612.nc,,0,cice.h,aicen003_nh,1699,,
45,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen003_sh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen003_sh.024901-031612.nc,,0,cice.h,aicen003_sh,1699,,
46,g.e11_LENS.GECOIAF.T62_g16.009,ice,"['024901', '031612']",0,hindcast,g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen004_nh.024901-031612.nc,/glade/p/cesm/community/CESM-DPLE/CESM-DPLE_POPCICEhindcast/g.e11_LENS.GECOIAF.T62_g16.009.cice.h.aicen004_nh.024901-031612.nc,,0,cice.h,aicen004_nh,1699,,
